categorie,type,part_entreprises_ia_pct,zone,annee
De 10 à 49 salariés,Taille de l'entreprise,5.0,France,2023
De 50 à 249 salariés,Taille de l'entreprise,10.0,France,2023
250 salariés ou plus,Taille de l'entreprise,21.0,France,2023
Industrie manufacturière,Secteur d'activité,5.0,France,2023
"Production et distribution d'énergie, d'eau, gestion des déchets, dépollution",Secteur d'activité,5.0,France,2023
Construction ,Secteur d'activité,2.0,France,2023
Commerce ,Secteur d'activité,4.0,France,2023
Transports et entreposage,Secteur d'activité,2.0,France,2023
Hébergement-restauration,Secteur d'activité,2.0,France,2023
Information-communication,Secteur d'activité,30.0,France,2023
Activités immobilières,Secteur d'activité,7.0,France,2023
"Activités spécialisées, scientifiques  et techniques",Secteur d'activité,14.0,France,2023
Activités de services administratifs et de soutien,Secteur d'activité,6.0,France,2023
De 10 à 49 salariés,Taille de l'entreprise,9.0,France,2024
De 50 à 249 salariés,Taille de l'entreprise,15.0,France,2024
250 salariés ou plus,Taille de l'entreprise,33.0,France,2024
Industrie manufacturière,Secteur d'activité,7.0,France,2024
"Production et distribution d'énergie, d'eau, gestion des déchets, dépollution",Secteur d'activité,9.0,France,2024
Construction ,Secteur d'activité,3.0,France,2024
Commerce ,Secteur d'activité,10.0,France,2024
Transports et entreposage,Secteur d'activité,5.0,France,2024
Hébergement-restauration,Secteur d'activité,5.0,France,2024
Information-communication,Secteur d'activité,42.0,France,2024
Activités immobilières,Secteur d'activité,14.0,France,2024
"Activités spécialisées, scientifiques  et techniques",Secteur d'activité,17.0,France,2024
Activités de services administratifs et de soutien,Secteur d'activité,11.0,France,2024
De 10 à 49 salariés,Taille de l'entreprise,15.0,France,2025
De 50 à 249 salariés,Taille de l'entreprise,31.0,France,2025
250 salariés ou plus,Taille de l'entreprise,58.0,France,2025
Industrie manufacturière,Secteur d'activité,17.0,France,2025
"Production et distribution d'énergie, d'eau, gestion des déchets, dépollution",Secteur d'activité,19.0,France,2025
Construction ,Secteur d'activité,10.0,France,2025
Commerce ,Secteur d'activité,13.0,France,2025
Transports et entreposage,Secteur d'activité,9.0,France,2025
Hébergement-restauration,Secteur d'activité,12.0,France,2025
Information-communication,Secteur d'activité,59.0,France,2025
Activités immobilières,Secteur d'activité,26.0,France,2025
"Activités spécialisées, scientifiques  et techniques",Secteur d'activité,33.0,France,2025
Activités de services administratifs et de soutien,Secteur d'activité,19.0,France,2025
De 10 à 49 salariés,Taille de l'entreprise,6.0,UE,2023
De 50 à 249 salariés,Taille de l'entreprise,13.0,UE,2023
250 salariés ou plus,Taille de l'entreprise,30.0,UE,2023
Industrie manufacturière,Secteur d'activité,7.0,UE,2023
"Production et distribution d'énergie, d'eau, gestion des déchets, dépollution",Secteur d'activité,9.0,UE,2023
Construction ,Secteur d'activité,3.0,UE,2023
Commerce ,Secteur d'activité,7.0,UE,2023
Transports et entreposage,Secteur d'activité,5.0,UE,2023
Hébergement-restauration,Secteur d'activité,4.0,UE,2023
Information-communication,Secteur d'activité,29.0,UE,2023
Activités immobilières,Secteur d'activité,9.0,UE,2023
"Activités spécialisées, scientifiques  et techniques",Secteur d'activité,19.0,UE,2023
Activités de services administratifs et de soutien,Secteur d'activité,8.0,UE,2023
De 10 à 49 salariés,Taille de l'entreprise,11.0,UE,2024
De 50 à 249 salariés,Taille de l'entreprise,21.0,UE,2024
250 salariés ou plus,Taille de l'entreprise,41.0,UE,2024
Industrie manufacturière,Secteur d'activité,11.0,UE,2024
"Production et distribution d'énergie, d'eau, gestion des déchets, dépollution",Secteur d'activité,13.0,UE,2024
Construction ,Secteur d'activité,6.0,UE,2024
Commerce ,Secteur d'activité,12.0,UE,2024
Transports et entreposage,Secteur d'activité,8.0,UE,2024
Hébergement-restauration,Secteur d'activité,6.0,UE,2024
Information-communication,Secteur d'activité,49.0,UE,2024
Activités immobilières,Secteur d'activité,15.0,UE,2024
"Activités spécialisées, scientifiques  et techniques",Secteur d'activité,31.0,UE,2024
Activités de services administratifs et de soutien,Secteur d'activité,14.0,UE,2024
De 10 à 49 salariés,Taille de l'entreprise,17.0,UE,2025
De 50 à 249 salariés,Taille de l'entreprise,30.0,UE,2025
250 salariés ou plus,Taille de l'entreprise,55.0,UE,2025
Industrie manufacturière,Secteur d'activité,17.0,UE,2025
"Production et distribution d'énergie, d'eau, gestion des déchets, dépollution",Secteur d'activité,18.0,UE,2025
Construction ,Secteur d'activité,11.0,UE,2025
Commerce ,Secteur d'activité,19.0,UE,2025
Transports et entreposage,Secteur d'activité,11.0,UE,2025
Hébergement-restauration,Secteur d'activité,12.0,UE,2025
Information-communication,Secteur d'activité,63.0,UE,2025
Activités immobilières,Secteur d'activité,25.0,UE,2025
"Activités spécialisées, scientifiques  et techniques",Secteur d'activité,40.0,UE,2025
Activités de services administratifs et de soutien,Secteur d'activité,20.0,UE,2025
